"","X","tss","roc"
"1",1,"0.849464150943396",0.96551320754717
"2",36,"LQHPT",3
"3",3,"-14.421",24.23
"4",4,"-11.714",40.067
"5",5,"-9.132",5.709
"6",6,"-12.026",9.023
"7",7,"-16.164",5.919
"8",8,"-12.36",24.417
"9",9,"-3.407",18.311
"10",10,"-5.118",20.146
"11",11,"-5.056",25.972
"12",12,"-6.674",40.666
"13",13,"-33.79",-23.81
"14",14,"-23.538",1.213
"15",15,"-19.944",-5.274
"16",16,"-19.617",9.7
"17",17,"-9.428",19.594
"18",18,"-9.342",29.823
"19",19,"-9.848",27.862
"20",20,"-14.834",35.664
